# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
fu huo jie 	復活節	c=1 d=1 t=64414
fu jian 	附件	c=26 d=0.0147547 t=96130
fu jiao shou 	副教授	c=1 d=1 t=38869
fu li 	副理	c=1 d=1 t=75975
fu li 	福利	c=1 d=1 t=75977
fu li ye 	傅里葉	c=3 d=2.93635 t=37140
fu mie 	覆滅	c=1 d=1 t=74990
fu mo 	撫摩	c=1 d=1 t=48793
fu pan 	副盤	c=1 d=1 t=26274
fu qin 	父親	c=1 d=1 t=31625
fu ren 	夫人	c=4 d=1 t=81489
fu shang 	負熵	c=2 d=0.000146632 t=96130
fu she 	輻射	c=1 d=1 t=76029
fu she zhang 	副社長	c=10 d=2.16769 t=79256
fu shi 	腐蝕	c=1 d=3.75695e-13 t=96130
fu shu 	複數	c=5 d=1 t=58515
fu shu 	負數	c=3 d=1 t=58516
fu wo cheng 	俯臥撐	c=1 d=1 t=90549
fu wu 	服務	c=26 d=0.782705 t=96130
fu wu qi 	服務器	c=12 d=9.1286e-08 t=96130
fu xi 	復系	c=1 d=8.05007e-08 t=96130
fu xi 	複習	c=48 d=0.137381 t=96130
fu xian 	复显	c=3 d=0.000288469 t=96130
fu xian 	復現	c=29 d=0.017049 t=96130
fu xian xing 	復現性	c=1 d=1 t=72126
fu xing 	復興	c=5 d=2.05046 t=46268
fu xuan kuang 	複選框	c=1 d=8.10998e-07 t=96130
fu xue 	復學	c=6 d=1.15145e-12 t=96130
fu ye 	副業	c=1 d=1 t=81068
fu yi 	服役	c=1 d=1 t=94679
fu yong 	復用	c=1 d=1 t=26955
fu yong 	服用	c=1 d=3.94688e-05 t=96130
fu yu 	賦予	c=2 d=1 t=43048
fu yuan 	復原	c=1 d=3.4951e-16 t=96130
fu yuan su 	副元素	c=3 d=1.19351e-06 t=96130
fu za 	複雜	c=16 d=0.0151463 t=96130
fu za dian 	複雜點	c=1 d=1 t=61215
fu za du 	複雜度	c=5 d=0.00684017 t=96130
fu ze 	負責	c=3 d=1.43036e-05 t=96130
fu ze ren 	負責人	c=11 d=0.00159895 t=96130
fu zhi 	複製	c=25 d=9.56323e-05 t=96130
fu zhi 	賦值	c=6 d=1 t=84357
fu zhi ren 	複製人	c=1 d=1.35193e-18 t=96130
fu zhu 	輔助	c=17 d=5.0933e-05 t=96130
fu zhu xian 	輔助線	c=1 d=1 t=65893
fu zhuang 	服裝	c=2 d=1 t=75792
fu zhuang li yi 	服裝禮儀	c=1 d=1 t=53087
fu zuo yong 	副作用	c=1 d=1 t=83964
ga ba 	尕巴	c=0 d=0.1 t=68519
gai 	改	c=24 d=0.204948 t=96130
gai 	蓋	c=3 d=1.11993e-09 t=96130
gai 	該	c=36 d=0.880254 t=96130
gai ban 	改辦	c=1 d=1 t=70375
gai bian 	改編	c=1 d=1 t=74641
gai bian 	改變	c=11 d=9.58981e-08 t=96130
gai bu diao 	改不掉	c=1 d=1 t=40150
gai cheng 	改成	c=4 d=1 t=94229
gai de 	改得	c=5 d=3.63988e-15 t=96130
gai gai 	改改	c=1 d=8.32378e-19 t=96130
gai ge 	改革	c=3 d=2.66641 t=78202
gai hao le 	改好了	c=1 d=0.245367 t=96130
gai jin 	改進	c=13 d=5.62191e-14 t=96130
gai kuo 	概括	c=1 d=1 t=85997
gai liang 	改良	c=2 d=1.79057 t=72379
gai lv 	概率	c=118 d=0.0546521 t=96130
gai lv hua 	概率化	c=1 d=1 t=81907
gai lv lun 	概率論	c=1 d=1 t=58255
gai lv zhi 	概率值	c=1 d=1 t=58593
gai lv zhi 	概率紙	c=1 d=1 t=58592
gai mo xing 	该模型	c=1 d=1 t=63687
gai nia 	該孃	c=1 d=1.78786e-12 t=96130
gai nian 	概念	c=18 d=1.56182e-10 t=96130
gai shan 	改善	c=3 d=2.04732e-18 t=96130
gai shu 	概述	c=8 d=0.774916 t=96130
gai shu ju 	該數據	c=1 d=1 t=72177
gai wei 	改爲	c=28 d=0.000466618 t=96130
gai wei zhi 	該位置	c=1 d=1 t=71777
gai xie 	改寫	c=1 d=1 t=28754
gai yang 	改樣	c=1 d=1 t=51067
gai yao 	概要	c=2 d=8.38859e-22 t=96130
gai yi gai 	改一改	c=1 d=1 t=19823
gai yi xia 	改一下	c=2 d=1.81465 t=23336
gai yong 	改用	c=3 d=1 t=77304
gai zao 	改造	c=4 d=0.000107825 t=96130
gai zen me 	該怎麼	c=2 d=0.0220842 t=96130
gai zhang 	蓋章	c=5 d=1.96561 t=89120
gan 	幹	c=27 d=0.00355287 t=96130
gan 	感	c=25 d=0.878034 t=96130
gan 	柑	c=1 d=1 t=47508
gan an mi 	甘氨脒	c=2 d=1 t=90719
gan bu 	幹部	c=11 d=2.3481e-13 t=96130
gan bu 	敢不	c=1 d=1 t=39158
gan bu liao 	干不了	c=1 d=1 t=39159
gan chu 	感觸	c=1 d=1 t=45925
gan cui 	乾脆	c=1 d=1 t=21558
gan dao 	感到	c=5 d=0.000907334 t=96130
gan dong 	感動	c=1 d=1 t=75022
gan en 	感恩	c=1 d=1 t=74264
gan ga 	尷尬	c=3 d=1 t=73739
gan guo 	幹過	c=1 d=1 t=77492
gan ha 	幹哈	c=1 d=1 t=59556
gan hao 	幹好	c=2 d=1.99501 t=31009
gan huo 	乾貨	c=7 d=1 t=90434
gan huo 	幹活	c=2 d=1 t=62149
gan ji 	感激	c=1 d=1 t=46657
gan jin 	幹勁	c=1 d=1 t=20535
gan jing 	乾淨	c=1 d=1 t=81334
gan jue 	感覺	c=54 d=0.319832 t=96130
gan kuai 	趕快	c=1 d=1 t=80211
gan lan ye 	橄欖葉	c=1 d=1 t=47477
gan ma 	幹嘛	c=61 d=0.00816665 t=96130
gan mao 	感冒	c=1 d=1 t=20624
gan qing 	感情	c=2 d=1 t=73745
gan rao 	干擾	c=3 d=1.9806 t=42062
gan se 	乾澀	c=1 d=1 t=91090
gan shang 	趕上	c=1 d=1.34519e-18 t=96130
gan she 	干涉	c=1 d=2.51399e-22 t=96130
gan shen me 	幹什麼	c=6 d=0.333018 t=96130
gan shi jian 	趕時間	c=1 d=1 t=51327
gan shou 	感受	c=19 d=1 t=89908
gan wu 	感悟	c=15 d=0.0176857 t=96130
gan xiang 	感想	c=0 d=0.1 t=50629
gan xiang lu 	感想錄	c=1 d=1 t=50630
gan xie 	感謝	c=15 d=1 t=51021
gan xing qu 	感興趣	c=5 d=1 t=77426
gan zang 	肝臟	c=1 d=1 t=47469
gan zhi 	感知	c=8 d=0.315058 t=96130
gan zhi ji 	感知機	c=6 d=1.47517e-15 t=96130
gang 	剛	c=2 d=9.39813e-07 t=96130
gang cai 	剛纔	c=9 d=3.80712e-22 t=96130
gang fa 	刚发	c=1 d=1 t=23502
gang kai shi 	剛開始	c=1 d=1 t=47611
gang kao wan 	剛考完	c=1 d=9.44524e-06 t=96130
gang liang 	綱量	c=2 d=4.62447e-16 t=96130
gang ling 	綱領	c=3 d=1 t=47234
gang wei 	崗位	c=4 d=2.5619 t=91415
gang xing 	剛性	c=1 d=1 t=83269
gang yao 	綱要	c=1 d=0.740818 t=96130
gao 	搞	c=24 d=0.447088 t=96130
gao 	稿	c=0 d=0.1 t=29544
gao 	高	c=29 d=0.26982 t=96130
gao biao zhun 	高標準	c=1 d=1 t=94672
gao bu chu 	搞不出	c=1 d=1 t=24531
gao bu chu lai 	搞不出来	c=1 d=1 t=24981
gao bu dao 	搞不到	c=1 d=4.42173e-18 t=96130
gao bu gao 	告不告	c=1 d=0.00752142 t=96130
gao bu gao 	搞不搞	c=1 d=0.00763509 t=96130
gao ceng 	高層	c=1 d=9.81534e-17 t=96130
gao chao 	高潮	c=4 d=3.64508 t=92551
gao cheng 	搞成	c=1 d=1 t=37853
gao chou 	稿酬	c=1 d=0.00098783 t=96130
gao chu lai 	搞出來	c=2 d=0.008271 t=96130
gao dao di 	高到低	c=1 d=1 t=25391
gao de 	搞得	c=2 d=1 t=73751
gao ding 	搞定	c=1 d=0.0629761 t=96130
gao du 	高度	c=13 d=4.54077e-07 t=96130
gao er fu 	高爾夫	c=1 d=1 t=74231
gao gai lv 	搞概率	c=1 d=1 t=83195
gao guo 	高過	c=1 d=4.75543e-21 t=96130
gao ji 	高級	c=1 d=6.59084e-08 t=96130
gao ji neng 	高技能	c=1 d=1 t=45847
gao kao 	高考	c=1 d=1 t=45521
gao liu 	高硫	c=1 d=1 t=48179
gao luan 	搞亂	c=1 d=1 t=46066
gao pin ci 	高频词	c=1 d=1 t=83657
gao qi 	高启	c=0 d=0.1 t=34021
gao qi qiang 	高启強	c=2 d=1 t=86608
gao sha 	搞啥	c=1 d=1 t=21623
gao shu 	高數	c=7 d=1 t=94603
gao si 	高斯	c=5 d=0.0876056 t=96130
gao su 	告訴	c=16 d=0.0880448 t=96130
gao tong 	睾酮	c=1 d=1 t=43938
gao tong liang 	高通量	c=1 d=1 t=63173
gao wan 	搞完	c=3 d=0.40657 t=96130
gao wei 	高維	c=11 d=1 t=85215
gao wei 	高纬	c=3 d=1.956 t=44875
gao xiang 	高相	c=1 d=1 t=28531
gao xiao 	高效	c=1 d=1 t=50177
gao xiao 	高校	c=1 d=1 t=50176
gao xiao song 	高曉松	c=4 d=3.66552 t=52504
gao xing 	高興	c=2 d=1 t=36486
gao yu 	高宇	c=1 d=1 t=94458
gao yuan 	高原	c=1 d=1 t=56491
gao zhang 	高漲	c=1 d=1 t=79727
gao zhi liang 	高質量	c=2 d=1 t=63528
gao zhong 	高中	c=2 d=2.83355e-18 t=96130
gao zi 	稿子	c=3 d=1.83369e-15 t=96130
ge 	個	c=308 d=0.988901 t=96130
ge 	各	c=7 d=0.379083 t=96130
ge 	哥	c=11 d=0.496638 t=96130
ge 	格	c=1 d=1 t=42980
ge 	歌	c=3 d=1.68386 t=55774
ge ban 	各班	c=1 d=1 t=41036
ge bie 	個別	c=1 d=1 t=59883
ge bu fen 	各部分	c=1 d=1 t=36040
ge ci 	歌詞	c=2 d=1 t=84527
ge en 	戈恩	c=1 d=1 t=33047
ge ge 	各個	c=5 d=2.9952e-16 t=96130
ge ge 	哥哥	c=1 d=1 t=24300
ge ju 	格局	c=1 d=1 t=46073
ge kong 	隔空	c=3 d=1.92898e-07 t=96130
ge kong tou song 	隔空投送	c=3 d=3.00725e-07 t=96130
ge lei 	各類	c=21 d=0.00162866 t=96130
ge lu 	各路	c=1 d=1 t=83447
ge men 	哥們	c=7 d=0.000542133 t=96130
ge ming 	革命	c=2 d=9.4942e-08 t=96130
ge ming xing 	革命性	c=1 d=1 t=75039
ge na 	搁哪	c=1 d=1 t=24145
ge na me 	個那麼	c=1 d=1 t=69672
ge nian ji 	各年級	c=1 d=1 t=21459
ge ren 	個人	c=58 d=0.00566032 t=96130
ge ruan jian 	个软件	c=1 d=1 t=90565
ge shi 	格式	c=61 d=0.634448 t=96130
ge shi hua 	格式化	c=7 d=2.85521e-07 t=96130
ge shou 	歌手	c=11 d=5.8731 t=84564
ge shu 	個數	c=19 d=2.23113e-12 t=96130
ge ti 	個體	c=1 d=6.93466e-18 t=96130
ge tian 	隔天	c=2 d=1 t=28327
ge wei 	各位	c=6 d=9.45489e-18 t=96130
ge wen 	格溫	c=2 d=1.99501 t=90804
ge xin 	革新	c=2 d=1.60351 t=45835
ge xing 	個性	c=1 d=6.55685e-06 t=96130
ge xing hua 	個性化	c=1 d=1 t=36211
ge yin 	隔音	c=1 d=1.15364e-05 t=96130
ge zhong 	各種	c=14 d=0.900325 t=96130
ge zi 	各自	c=2 d=1 t=78068
ge zi bu gao 	个子不高	c=1 d=1 t=38556
gei 	給	c=186 d=0.298657 t=96130
gei chu 	給出	c=14 d=0.00292711 t=96130
gei ding 	給定	c=6 d=1 t=85181
gei diu 	给丢	c=1 d=5.76048e-12 t=96130
gei fen 	給分	c=1 d=1 t=69815
gei le 	給了	c=1 d=1 t=51564
gei ni 	給你	c=13 d=6.68113e-21 t=96130
gei ni men 	給你們	c=1 d=1 t=58154
gei ren 	給人	c=2 d=1.97531 t=47696
gei ta 	給他	c=1 d=0.00271219 t=96130
gei ta 	給她	c=2 d=1 t=37869
gei ta 	給它	c=1 d=1 t=48756
gei wo 	給我	c=29 d=0.200444 t=96130
gei xia mian 	給下面	c=1 d=1 t=68743
gei yi xie 	给一些	c=1 d=1 t=45285
gen 	根	c=15 d=1.12846e-10 t=96130
gen 	跟	c=14 d=1.80724e-06 t=96130
gen ben 	根本	c=7 d=0.000614317 t=96130
gen du 	跟读	c=1 d=1 t=77802
gen ge 	跟个	c=1 d=2.52616e-20 t=96130
gen hao 	根號	c=12 d=1.2375e-07 t=96130
gen ji 	根基	c=4 d=1.92442 t=78177
gen jie dian 	根节点	c=2 d=1 t=45381
gen ju 	根據	c=39 d=0.120712 t=96130
gen mu lu 	根目錄	c=1 d=0.00105946 t=96130
gen ni 	跟你	c=2 d=4.20322e-10 t=96130
gen sui 	跟隨	c=1 d=1 t=38865
gen ta 	跟她	c=1 d=1 t=19097
gen wo 	跟我	c=2 d=2.38521e-21 t=96130
gen wo men 	跟我們	c=2 d=3.5997e-10 t=96130
gen zhe 	跟着	c=3 d=2.9362 t=48424
gen zong 	跟蹤	c=2 d=4.94445e-09 t=96130
geng 	更	c=58 d=0.615703 t=96130
geng 	梗	c=4 d=1.68696e-05 t=96130
geng ai 	更愛	c=1 d=0.1 t=92146
geng bu 	更不	c=1 d=1 t=61527
geng chang 	更長	c=2 d=1.99501 t=40708
geng chang jian 	更常见	c=1 d=1 t=58631
geng da 	更大	c=11 d=0.017163 t=96130
geng di 	更低	c=1 d=1 t=21839
geng duo 	更多	c=6 d=1 t=96092
geng fu he 	更符合	c=1 d=1 t=94382
geng fu za 	更复杂	c=2 d=1 t=85299
geng gai 	更改	c=15 d=0.89587 t=96130
geng gao 	更高	c=3 d=0.00276698 t=96130
geng hao 	更好	c=19 d=0.0208584 t=96130
geng he shi 	更合適	c=1 d=1 t=58064
geng huan 	更換	c=1 d=1 t=44787
geng jia 	更加	c=7 d=1.16881 t=95356
geng ju 	更具	c=1 d=1 t=24779
geng ju ti 	更具体	c=2 d=1 t=94356
geng ke neng 	更可能	c=1 d=1 t=52517
geng kuai 	更快	c=5 d=0.0128157 t=96130
geng man 	更慢	c=2 d=8.21968e-18 t=96130
geng qiang 	更強	c=1 d=1 t=60795
geng rong yi 	更容易	c=2 d=1 t=35592
geng xiang 	更像	c=1 d=0.000145173 t=96130
geng xiang ren 	更像人	c=1 d=0.00145901 t=96130
geng xiao 	更小	c=1 d=1 t=64368
geng xin 	更新	c=58 d=0.000100275 t=96130
geng yao 	更要	c=1 d=1 t=35163
geng ying 	更硬	c=1 d=1 t=35190
geng ying gai 	更應該	c=1 d=1 t=45904
geng you 	更又	c=1 d=1 t=54972
geng you 	更有	c=1 d=1 t=34078
geng you yi 	更有益	c=1 d=1 t=35593
geng zao 	更早	c=1 d=1 t=59231
geng zheng 	更正	c=1 d=1 t=38333
geng zhi qian 	更值钱	c=1 d=6.90242e-22 t=96130
geng zhong yao 	更重要	c=1 d=1 t=51924
geng zhun que 	更准确	c=1 d=1 t=58566
gong 	共	c=12 d=4.14135e-12 t=96130
gong 	宮	c=2 d=1.73345 t=43352
gong 	工	c=7 d=0.25796 t=96130
gong bao 	公報	c=1 d=1 t=46220
gong bu 	公佈	c=3 d=9.07678e-17 t=96130
gong ce 	公廁	c=1 d=1 t=43304
gong chan 	共產	c=4 d=1 t=83892
gong chan dang 	共產黨	c=3 d=1.97047 t=31795
gong chan dang yuan 	共產黨員	c=1 d=1 t=19508
gong chan zhu yi 	共產主義	c=1 d=1 t=49430
gong cheng 	工程	c=18 d=1.52782e-08 t=96130
gong cheng shi 	工程師	c=14 d=1 t=94662
gong cun 	共存	c=1 d=5.22223e-05 t=96130
gong dian 	供電	c=2 d=0.00257671 t=96130
gong fu 	功夫	c=1 d=1 t=26112
gong gao 	公告	c=3 d=1 t=78987
gong gong 	公共	c=10 d=1.02926e-08 t=96130
gong gong guan xi 	公共關係	c=1 d=1 t=69254
gong huo 	共獲	c=3 d=1 t=29784
gong ji 	供給	c=1 d=1 t=78200
gong ji xing 	攻擊性	c=1 d=1 t=41324
gong jiang 	工匠	c=1 d=1 t=45846
gong ju 	工具	c=28 d=0.00185365 t=96130
gong ju bao 	工具包	c=1 d=3.64405e-07 t=96130
gong ju lei 	工具類	c=1 d=1 t=76397
gong ju xiang 	工具箱	c=1 d=1 t=75757
gong kai 	公開	c=5 d=1 t=83866
gong kai ke 	公開課	c=20 d=0.481843 t=96130
gong lue 	攻略	c=8 d=1 t=43234
gong lv 	功率	c=1 d=3.03065e-15 t=96130
gong neng 	功能	c=20 d=0.130029 t=96130
gong o 	攻哦	c=1 d=1 t=27779
gong ou mai 	共偶買	c=1 d=1 t=86338
gong ping 	公平	c=1 d=1 t=75724
gong qiao 	拱橋	c=2 d=1.71065e-22 t=96130
gong qing tuan yuan 	共青團員	c=1 d=1 t=21201
gong ren 	公仁	c=1 d=1 t=52300
gong ren 	公認	c=1 d=1 t=52301
gong she 	公設	c=1 d=1 t=58552
gong sheng 	共生	c=2 d=1 t=78225
gong shi 	公式	c=50 d=0.000211772 t=96130
gong shi 	共識	c=1 d=1 t=78700
gong si 	公司	c=12 d=0.877438 t=96130
gong tong 	共同	c=3 d=6.23707e-06 t=96130
gong tong dian 	共同點	c=5 d=1.36459e-10 t=96130
gong wei 	恭維	c=1 d=1 t=35410
gong xian 	貢獻	c=4 d=1 t=52045
gong xiang 	共享	c=11 d=2.54234e-10 t=96130
gong xing 	共性	c=2 d=1 t=50074
gong ye 	工業	c=35 d=0.00141724 t=96130
gong yi 	工藝	c=1 d=1 t=78833
gong ying shang 	供應商	c=2 d=1.82283 t=69459
gong yuan 	公元	c=1 d=1 t=46386
gong yuan qian 	公元前	c=1 d=1 t=46378
gong yuan qian 	公園前	c=1 d=1 t=46355
gong zheng 	公正	c=1 d=1 t=75725
gong zhong 	公衆	c=1 d=1 t=59230
gong zhong hao 	公眾號	c=1 d=1 t=91142
gong zhu bing 	公主病	c=1 d=1 t=29215
gong zi 	工資	c=3 d=1.37236e-18 t=96130
gong zuo 	工作	c=35 d=0.688643 t=96130
gong zuo liu 	工作流	c=1 d=1 t=48124
gong zuo qu 	工作區	c=3 d=7.15037e-16 t=96130
gong zuo zhe 	工作者	c=2 d=1 t=63380
gou 	勾	c=1 d=2.94058e-13 t=96130
gou 	夠	c=9 d=1.63482e-18 t=96130
gou 	狗	c=3 d=1.38319e-14 t=96130
gou cheng 	構成	c=11 d=3.39769e-07 t=96130
gou jian 	構建	c=31 d=0.00109106 t=96130
gou jian le 	构建了	c=1 d=1 t=94866
gou jian mo xing 	構建模型	c=1 d=1 t=64774
gou mai 	購買	c=2 d=1 t=79960
gou tong 	溝通	c=1 d=1 t=73843
gou wu 	購物	c=1 d=1 t=69486
gou zao 	構造	c=5 d=1.22457 t=87098
gou zhi 	購置	c=4 d=2.68901 t=69539
gou zi 	鈎子	c=2 d=1.71177 t=86925
gu 	故	c=2 d=1.99005 t=25083
gu 	股	c=0 d=1.8692e-07 t=96130
gu dan 	孤單	c=1 d=1 t=71090
gu ding 	固定	c=20 d=0.00960953 t=96130
gu ding zi chan 	固定資產	c=1 d=1 t=67339
gu du 	孤獨	c=1 d=1 t=73995
gu dun 	古盾	c=0 d=0.1 t=27829
gu dun ge 	古盾個	c=1 d=1 t=27830
gu e 	固額	c=1 d=6.47595e-08 t=96130
gu fen 	股份	c=2 d=1.8825 t=69325
gu ge 	谷歌	c=29 d=2.02034e-09 t=96130
gu ge ren 	谷歌人	c=1 d=1 t=59208
gu ji 	估計	c=18 d=0.00122968 t=96130
gu ke 	顧客	c=1 d=1 t=68549
gu li 	孤立	c=1 d=1 t=27679
gu li 	鼓勵	c=1 d=5.03217e-10 t=96130
gu li 	鼓里	c=1 d=5.00707e-10 t=96130
gu lv 	顧慮	c=1 d=1 t=75137
gu pao tai 	古炮台	c=1 d=1 t=61833
gu piao 	股票	c=1 d=1 t=78749
gu se gu xiang 	古色古香	c=1 d=1 t=73845
gu shi 	故事	c=7 d=1 t=62129
gu tai 	固態	c=1 d=1 t=74667
gu teng 	古藤	c=0 d=4.74977e-08 t=96130
gu teng bao 	古藤堡	c=1 d=4.77358e-07 t=96130
gu wu 	鼓舞	c=1 d=1 t=75991
gu yuan 	固原	c=1 d=1 t=38618
gu zhang 	鼓掌	c=1 d=9.19764e-17 t=96130
gua 	掛	c=1 d=1 t=92080
gua fu 	寡婦	c=1 d=1 t=75964
guai 	怪	c=1 d=1 t=79362
guan 	管	c=5 d=1.77834e-08 t=96130
guan 	關	c=8 d=1 t=87878
guan bi 	關閉	c=53 d=0.0542311 t=96130
guan bu diao 	关不掉	c=1 d=1 t=49729
guan cha 	觀察	c=6 d=1 t=94067
guan che 	貫徹	c=1 d=1 t=78204
guan dian 	觀點	c=4 d=1.07047e-07 t=96130
guan fang 	官方	c=6 d=1 t=86747
guan huai 	關懷	c=2 d=1 t=47579
guan ji 	關機	c=5 d=0.000450605 t=96130
guan jian 	關鍵	c=12 d=6.53992e-05 t=96130
guan jian bu fen 	关键部分	c=1 d=1 t=63403
guan jian ci 	關鍵詞	c=26 d=0.564486 t=96130
guan jian dian 	關鍵點	c=3 d=0.000437252 t=96130
guan jian xing 	關鍵性	c=1 d=6.77287e-05 t=96130
guan kong 	管控	c=1 d=0.831104 t=96130
guan li 	管理	c=22 d=0.0894912 t=96130
guan li li 	管理李	c=1 d=1 t=79447
guan li qi 	管理器	c=1 d=3.4951e-16 t=96130
guan li yuan 	管理員	c=1 d=0.000649051 t=96130
guan lian 	關聯	c=25 d=1 t=91519
guan ni pi shi 	关你屁事	c=2 d=1.99005 t=32225
guan nian 	觀念	c=2 d=1.03365e-07 t=96130
guan shang 	觀賞	c=1 d=1 t=77432
guan wang 	官網	c=5 d=0.0178412 t=96130
guan wo 	观我	c=1 d=1 t=32213
guan wo 	關我	c=1 d=1 t=32215
guan xi 	關係	c=50 d=5.05653e-08 t=96130
guan yu 	關於	c=13 d=0.683861 t=96130
guan zhu 	關注	c=10 d=1 t=95968
guang 	光	c=8 d=0.000476044 t=96130
guang biao 	光標	c=5 d=6.31504e-16 t=96130
guang bo 	廣播	c=7 d=1 t=70397
guang cun chu 	光存储	c=1 d=1 t=93273
guang dao 	逛到	c=1 d=1 t=80155
guang du 	廣度	c=8 d=3.84973 t=88819
guang fan 	廣泛	c=5 d=1 t=81806
guang gao 	廣告	c=1 d=1 t=69249
guang pao tong 	光泡桐	c=1 d=1 t=61832
guang zhou 	廣州	c=2 d=1.98511 t=55931
gui 	貴	c=6 d=2.19094 t=74628
gui bing 	歸並	c=3 d=1.91851 t=88200
gui dang 	歸檔	c=5 d=1.03689 t=72017
gui ding 	規定	c=2 d=1 t=51254
gui fan 	規範	c=9 d=7.04416e-06 t=96130
gui fan hua 	規範化	c=2 d=1.06975e-15 t=96130
gui gan 	規桿	c=1 d=3.66294e-09 t=96130
gui gen jie di 	归根结底	c=2 d=1.18918e-09 t=96130
gui gu 	硅谷	c=1 d=1 t=59226
gui hua 	規劃	c=21 d=2.11268 t=96130
gui huan 	歸還	c=1 d=1 t=74779
gui ji 	軌跡	c=16 d=0.29671 t=96130
gui jiu 	歸咎	c=1 d=1 t=62369
gui lai 	歸來	c=1 d=1 t=36779
gui lv 	規律	c=4 d=0.0202419 t=96130
gui mo 	規模	c=4 d=4.44314e-16 t=96130
gui shu 	歸屬	c=1 d=0.115903 t=96130
gui wei 	歸爲	c=1 d=5.27651e-09 t=96130
gui yi 	歸一	c=3 d=2.97516 t=72483
gui yi hua 	歸一化	c=24 d=0.0122773 t=96130
gui ze 	規則	c=17 d=2.88479e-06 t=96130
gun dong 	滾動	c=1 d=1 t=75299
gun lun 	滾輪	c=3 d=1.01795 t=76234
guo 	國	c=9 d=1 t=78185
guo 	果	c=2 d=1 t=67728
guo 	過	c=40 d=0.167127 t=96130
guo 	郭	c=2 d=1 t=82704
guo bu 	过不	c=1 d=1 t=19935
guo cheng 	過程	c=52 d=0.00434724 t=96130
guo de 	過得	c=1 d=1 t=52142
guo dong 	過冬	c=0 d=0.1 t=61689
guo du 	國度	c=0 d=0.1 t=24841
guo du 	過度	c=5 d=1 t=80854
guo du 	過渡	c=1 d=1 t=63343
guo fen 	過分	c=3 d=1 t=84751
guo guo 	嘓嘓	c=0 d=0.1 t=84468
guo guo 	果果	c=2 d=1.71285 t=96130
guo guo 	過過	c=0 d=0.1 t=84468
guo guo guo guo guo guo guo 	過過過過嘓嘓過	c=1 d=1 t=84469
guo hao 	過好	c=2 d=7.56556e-13 t=96130
guo hou 	過後	c=1 d=1 t=31473
guo hui 	國徽	c=1 d=1 t=52823
guo ji 	國際	c=12 d=1 t=90501
guo ji hua 	國際化	c=1 d=1 t=76411
guo ji shang 	國際上	c=1 d=1 t=35055
guo jia 	國家	c=19 d=1 t=94631
guo jia ji 	國家級	c=7 d=1.01163 t=30302
guo jia zhong 	国家中	c=1 d=1 t=38059
guo kuai 	過快	c=1 d=1 t=75281
guo lai 	過來	c=5 d=0.0225373 t=96130
guo lai ma 	過來嗎	c=1 d=0.226502 t=96130
guo li 	國立	c=1 d=1 t=30003
guo liang 	過量	c=1 d=1 t=77103
guo lv 	過濾	c=16 d=7.71445e-07 t=96130
guo lv qi 	過濾器	c=3 d=1 t=85575
guo ma 	過嗎	c=1 d=2.99224e-12 t=96130
guo mu 	過目	c=1 d=1 t=90219
guo nei 	國內	c=4 d=5.84103e-05 t=96130
guo nei wai 	國內外	c=1 d=1 t=94952
guo ni 	過你	c=0 d=9.50066e-17 t=96130
guo ni he 	過你和	c=1 d=9.54828e-16 t=96130
guo ni he 	過擬合	c=13 d=4.89873e-11 t=96130
guo qi 	過期	c=3 d=0.000203468 t=96130
guo qu 	過去	c=4 d=1 t=91420
guo qu shi 	過去式	c=1 d=1 t=38253
guo ran 	果然	c=0 d=2.52316e-07 t=96130
guo sai 	国赛	c=2 d=1.04285 t=38343
guo shi 	過時	c=1 d=1 t=34186
guo wai 	國外	c=2 d=1.39259 t=46230
guo wen 	過問	c=1 d=1 t=52280
guo wu yuan 	國務院	c=1 d=1 t=19553
guo xian 	过线	c=1 d=5.59309e-18 t=96130
guo yi bian 	過一遍	c=3 d=1.96561 t=89892
guo ying 	過硬	c=1 d=1 t=29420
guo zhuang 	過裝	c=0 d=0.00645703 t=96130
guo zhuang pei 	過裝配	c=1 d=0.064894 t=96130
ha 	哈	c=5 d=0.00468877 t=96130
ha ha 	哈哈	c=10 d=0.0428521 t=96130
ha ni 	哈尼	c=2 d=1 t=82786
ha shi 	哈市	c=1 d=0.2334 t=96130
ha si hu 	哈似乎	c=1 d=5.21496e-18 t=96130
ha xi 	哈希	c=16 d=1.21624 t=88802
ha xi biao 	哈希表	c=2 d=1 t=87508
ha xi di zhi 	哈希地址	c=1 d=1 t=87919
ha yi 	哈一	c=1 d=1 t=81913
hai 	害	c=10 d=0.0642483 t=96130
hai 	海	c=11 d=7.13353e-11 t=96130
hai 	還	c=81 d=0.199942 t=96130
hai an xian 	海岸線	c=1 d=1 t=75864
hai bao 	海報	c=1 d=1 t=75311
hai bao 	海寶	c=1 d=1 t=75310
hai bu cuo 	還不錯	c=2 d=1 t=57209
hai bu gou 	還不夠	c=2 d=1 t=66864
hai bu shao 	還不少	c=1 d=1 t=32146
hai bu tai 	还不太	c=1 d=1 t=70445
hai bu zhi dao 	還不知道	c=1 d=1 t=23135
hai cha 	還差	c=3 d=1.38809e-05 t=96130
hai cha ge 	還差個	c=1 d=1 t=63980
